"Category","Title"
"commercial","Marché Sandaga"
"commercial","Supermarchés et hypermarchés Auchan"
"commercial","Concessionnaires CFAO"
"cultuel","Eglise Saint Paul"
"cultuel","Cathédrale de Saint Louis"
"cultuel","Eglise de l’Epiphanie"
"culturel","Maison des esclaves"
"culturel","Théâtre de verdure"
"culturel","Le Manège"
"education","Campus Circulaire Citadin"
"education","Université des sciences et technologies Tamaro Toure (US3T)"
"industriel","Green Agro Business"
"infrastructure","Haltes et gares"
"infrastructure","SMI - SMR"
"infrastructure","Gare de Dakar"
"infrastructure","Gare de Rufisque"
"logements","Maison de l'Amiral"
"logements","Maison Sh"
"logements","Immeuble Sunuker"
"logements","Villa Aq"
"logements","Immeuble Lz"
"logements","Immeuble Al"
"logements","Villa Fs"
"logements","Villa Mm"
"logements","Villa Rz"
"logements","Maison du port"
"logements","Villa Signare"
"logements","La cour du fleuve"
"logements","Centre d'hébergement"
"rehabilitation","Maison de l'Amiral"
"rehabilitation","Maison des esclaves"
"rehabilitation","Cathédrale de Saint Louis"
"rehabilitation","Gare de Dakar"
"rehabilitation","Gare de Rufisque"
"rehabilitation","Marché Sandaga"
"rehabilitation","Maison du port"
"rehabilitation","Villa Signare"
"rehabilitation","La cour du fleuve"
"rehabilitation","Poste de santé"
"rehabilitation","Théâtre de verdure"
"rehabilitation","Le Manège"
"rehabilitation","Centre d'hébergement"
"rehabilitation","Pavillon Saint-Louis HPD"
"sante","CHOM"
"sante","Institut Pasteur"
"sante","Maison des enfants"
"sante","Institut cardio-pédiatrique"
"sante","Poste de santé"
"sante","Pavillon Saint-Louis HPD"
