"Category","Title","Image"
"commercial","Marché Sandaga","https://ga2d.com/wp-content/uploads/2020/07/EXTERIEUR_16.9-scaled.jpg"
"commercial","Supermarchés et hypermarchés Auchan","https://ga2d.com/wp-content/uploads/2023/09/Image-11-scaled.jpg"
"commercial","Concessionnaires CFAO","https://ga2d.com/wp-content/uploads/2020/07/IMG_0624-Copie_16.9-scaled.jpg"
"cultuel","Eglise Saint Paul","https://ga2d.com/wp-content/uploads/2020/07/SITE-SAINT-PAUL-1_16.9.jpg"
"cultuel","Cathédrale de Saint Louis","https://ga2d.com/wp-content/uploads/2020/07/CATHEDRALE-DE-SAINT-LOUIS-4.jpg"
"cultuel","Eglise de l’Epiphanie","https://ga2d.com/wp-content/uploads/2020/07/EGLISE-NIANING-3_16.9-scaled.jpg"
"culturel","Maison des esclaves","https://ga2d.com/wp-content/uploads/2020/07/WhatsApp-Image-2020-09-03-at-12.15.42.jpg.jpg"
"culturel","Théâtre de verdure","https://ga2d.com/wp-content/uploads/2020/07/P1020844_16.9-1-scaled.jpg"
"culturel","Le Manège","https://ga2d.com/wp-content/uploads/2020/07/le-manege-03.jpg"
"education","Campus Circulaire Citadin","https://ga2d.com/wp-content/uploads/2021/04/VUE-1-scaled.jpg"
"education","Université des sciences et technologies Tamaro Toure (US3T)","https://ga2d.com/wp-content/uploads/2020/07/2_16.9-scaled.jpg"
"industriel","Green Agro Business","https://ga2d.com/wp-content/uploads/2020/07/Image-02_16.9-scaled.jpg"
"infrastructure","Haltes et gares","https://ga2d.com/wp-content/uploads/2020/07/IMG_6061_16.9-scaled.jpg"
"infrastructure","SMI - SMR","https://ga2d.com/wp-content/uploads/2020/07/1_16.9.jpg"
"infrastructure","Gare de Dakar","https://ga2d.com/wp-content/uploads/2020/04/46021825744_7099db0cb3_o_16.9.jpg"
"infrastructure","Gare de Rufisque","https://ga2d.com/wp-content/uploads/2020/04/RUFISQUE-4_16.9-scaled.jpg"
"logements","Maison de l'Amiral","https://ga2d.com/wp-content/uploads/2020/09/P1050186_16.9-scaled.jpg"
"logements","Maison Sh","https://ga2d.com/wp-content/uploads/2020/07/c_11-Photo_11-Photo_16.9.jpg"
"logements","Immeuble Sunuker","https://ga2d.com/wp-content/uploads/2020/07/P1040858_16.9-scaled.jpg"
"logements","Villa Aq","https://ga2d.com/wp-content/uploads/2020/07/2_16.9-1-scaled.jpg"
"logements","Immeuble Lz","https://ga2d.com/wp-content/uploads/2020/07/Protection-palliers-scaled.jpeg"
"logements","Immeuble Al","https://ga2d.com/wp-content/uploads/2020/07/IMMEUBLE-AL-1.jpg"
"logements","Villa Fs","https://ga2d.com/wp-content/uploads/2020/07/IMG_0270_16.9-scaled.jpg"
"logements","Villa Mm","https://ga2d.com/wp-content/uploads/2020/07/67ABCD74-AC58-4C11-A833-8FAB631E24B9_16.9-scaled.jpg"
"logements","Villa Rz","https://ga2d.com/wp-content/uploads/2020/07/P1000153_16.9.jpg"
"logements","Maison du port","https://ga2d.com/wp-content/uploads/2020/07/IMG_0208_16.9-scaled.jpg"
"logements","Villa Signare","https://ga2d.com/wp-content/uploads/2020/07/IMG_0239_16.9-scaled.jpg"
"logements","La cour du fleuve","https://ga2d.com/wp-content/uploads/2020/07/IMG_7714_16.9-scaled.jpg"
"logements","Centre d'hébergement","https://ga2d.com/wp-content/uploads/2020/07/CENTRE-D-HEBERGEMENT-3.jpg"
"rehabilitation","Maison de l'Amiral","https://ga2d.com/wp-content/uploads/2020/09/P1050186_16.9-scaled.jpg"
"rehabilitation","Maison des esclaves","https://ga2d.com/wp-content/uploads/2020/07/WhatsApp-Image-2020-09-03-at-12.15.42.jpg.jpg"
"rehabilitation","Cathédrale de Saint Louis","https://ga2d.com/wp-content/uploads/2020/07/CATHEDRALE-DE-SAINT-LOUIS-4.jpg"
"rehabilitation","Gare de Dakar","https://ga2d.com/wp-content/uploads/2020/04/46021825744_7099db0cb3_o_16.9.jpg"
"rehabilitation","Gare de Rufisque","https://ga2d.com/wp-content/uploads/2020/04/RUFISQUE-4_16.9-scaled.jpg"
"rehabilitation","Marché Sandaga","https://ga2d.com/wp-content/uploads/2020/07/EXTERIEUR_16.9-scaled.jpg"
"rehabilitation","Maison du port","https://ga2d.com/wp-content/uploads/2020/07/IMG_0208_16.9-scaled.jpg"
"rehabilitation","Villa Signare","https://ga2d.com/wp-content/uploads/2020/07/IMG_0239_16.9-scaled.jpg"
"rehabilitation","La cour du fleuve","https://ga2d.com/wp-content/uploads/2020/07/IMG_7714_16.9-scaled.jpg"
"rehabilitation","Poste de santé","https://ga2d.com/wp-content/uploads/2020/07/DSC02161.jpg"
"rehabilitation","Théâtre de verdure","https://ga2d.com/wp-content/uploads/2020/07/P1020844_16.9-1-scaled.jpg"
"rehabilitation","Le Manège","https://ga2d.com/wp-content/uploads/2020/07/le-manege-03.jpg"
"rehabilitation","Centre d'hébergement","https://ga2d.com/wp-content/uploads/2020/07/CENTRE-D-HEBERGEMENT-3.jpg"
"rehabilitation","Pavillon Saint-Louis HPD","https://ga2d.com/wp-content/uploads/2020/07/P2220096_16.9-scaled.jpg"
"sante","CHOM","https://ga2d.com/wp-content/uploads/2021/04/VUE-4-scaled.jpg"
"sante","Institut Pasteur","https://ga2d.com/wp-content/uploads/2020/07/Image-03_16.9.jpg"
"sante","Maison des enfants","https://ga2d.com/wp-content/uploads/2020/07/MAISON-DES-ENFANTS-3_16.9.jpg"
"sante","Institut cardio-pédiatrique","https://ga2d.com/wp-content/uploads/2020/07/IMG_1675-2.jpg"
"sante","Poste de santé","https://ga2d.com/wp-content/uploads/2020/07/DSC02161.jpg"
"sante","Pavillon Saint-Louis HPD","https://ga2d.com/wp-content/uploads/2020/07/P2220096_16.9-scaled.jpg"
